"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"1","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"2","CMP","KANSAS CITY","SOUTH CENTRAL","MO","BUILDING","2018","2018","MPAC","N","b.1","b.N","e.11300+","b.<25","1"
"6","CMP","NAPERVILLE","CENTRAL","TN","OFFICE","2017","2018","MULTI","N","d.3","b.N","b.<1800","c.<40","1"
"7","CMP","CHARLOTTE","SOUTHERN","AL","OFFICE","2017","2018","MPAC","N","c.2","b.N","b.<1800","d.<70","0"
"8","CMP","NAPERVILLE","CENTRAL","IL","APARTMENTS","2017","2018","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"9","CMP","HARTFORD","NORTHEAST","NY","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"10","CMP","BRAINTREE","NORTHEAST","MA","CONTRACTORS","2017","2017","MPAC","Y","d.3","b.N","b.<1800","e.70+","0"
"11","CMP","KANSAS CITY","CENTRAL","SD","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<25","1"
"13","CMP","HARTFORD","NORTHEAST","NY","GARAGE","2017","2017","MPAC","N","d.3","b.N","b.<1800","c.<40","0"
"14","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"15","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2017","2017","MULTI","N","c.2","b.N","c.<4250","e.70+","1"
"17","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MPAC","Y","c.2","a.Y","b.<1800","d.<70","0"
"18","CMP","BRAINTREE","NORTHEAST","NH","BUILDING","2017","2017","MPAC","N","c.2","b.N","d.<11300","c.<40","1"
"19","CMP","BRAINTREE","NORTHEAST","VT","BUILDING","2016","2016","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
"20","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","b.<15","1"
"21","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MULTI","N","c.2","a.Y","b.<1800","e.70+","0"
"22","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","d.<70","0"
"24","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"26","CMP","DENVER","WESTERN","WA","TECH OFFICE","2016","2016","MPAC","N","c.2","a.Y","b.<1800","c.<40","0"
"27","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"30","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"31","CMP","NAPERVILLE","CENTRAL","OH","GARAGE","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","0"
"32","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"33","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MULTI","N","d.3","b.N","c.<4250","b.<25","1"
"34","CMP","BRAINTREE","NORTHEAST","ME","STORE","2016","2016","MPAC","Y","b.1","b.N","b.<1800","e.70+","0"
"35","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2016","2016","MPAC","N","b.1","b.N","b.<1800","d.<70","1"
"36","CMP","BRAINTREE","NORTHEAST","MA","TECH OFFICE","2017","2017","MPAC","Y","b.1","b.N","b.<1800","d.<70","0"
"37","CMP","HARTFORD","NORTHEAST","CT","BUILDING","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"38","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MULTI","N","b.1","b.N","c.<4250","e.70+","1"
"41","CMP","NAPERVILLE","CENTRAL","OK","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","b.<25","1"
"44","CMP","CHARLOTTE","SOUTHERN","TN","CONTRACTORS","2015","2017","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"45","CMP","BRAINTREE","NORTHEAST","MA","RESTAURANTS","2016","2016","MPAC","N","a.0","b.N","b.<1800","d.<70","1"
"46","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2016","2016","MULTI","N","d.3","b.N","b.<1800","d.<70","1"
"48","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2016","MULTI","N","b.1","b.N","e.11300+","c.<40","1"
"49","CMP","HUNT VALLEY","MID-ATLANTIC","DC","CONDOMINIUMS","2016","2016","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"50","CMP","BRAINTREE","NORTHEAST","ME","BUSINESS","2016","2017","MPAC","Y","f.others","b.N","b.<1800","d.<70","0"
"51","CMP","BRAINTREE","NORTHEAST","ME","BUSINESS","2016","2017","MPAC","Y","f.others","b.N","b.<1800","d.<70","0"
"52","CMP","KANSAS CITY","CENTRAL","NE","GARAGE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"53","CMP","CHARLOTTE","SOUTHERN","TN","RESTAURANTS","2016","2016","MULTI","N","e.4","a.Y","b.<1800","b.<25","0"
"54","CMP","DENVER","WESTERN","UT","RESTAURANTS","2016","2016","MULTI","N","c.2","b.N","b.<1800","b.<25","0"
"55","CMP","KANSAS CITY","CENTRAL","NE","GARAGE","2016","2016","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"57","CMP","HARTFORD","NORTHEAST","CT","BUSINESS","2016","2016","MULTI","Y","e.4","b.N","b.<1800","b.<15","0"
"58","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","Y","b.1","b.N","d.<11300","b.<15","1"
"59","CMP","HUNT VALLEY","MID-ATLANTIC","PA","RESTAURANTS","2016","2016","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"60","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2018","MPAC","N","f.others","b.N","c.<4250","e.70+","1"
"61","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2016","2017","MULTI","N","f.others","b.N","e.11300+","d.<70","1"
"64","CMP","BRAINTREE","NORTHEAST","MA","RESTAURANTS","2016","2016","MULTI","Y","b.1","b.N","b.<1800","d.<70","0"
"65","CMP","DENVER","WESTERN","AZ","OFFICE","2016","2017","MULTI","N","d.3","b.N","b.<1800","d.<70","0"
"66","CMP","NAPERVILLE","CENTRAL","IL","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","1"
"71","CMP","WALNUT CREEK","CALIFORNIA","CA","STORE","2016","2017","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"72","CMP","METRO","NORTHEAST","NY","APARTMENTS","2016","2017","MULTI","N","f.others","b.N","e.11300+","e.70+","1"
"74","CMP","DENVER","WESTERN","AZ","STORE","2016","2017","MPAC","N","d.3","b.N","b.<1800","e.70+","0"
"75","CMP","METRO","NORTHEAST","NY","STORE","2016","2016","MULTI","Y","c.2","b.N","b.<1800","d.<70","0"
"76","CMP","DENVER","WESTERN","MT","BUILDING","2016","2017","MPAC","N","f.others","b.N","c.<4250","e.70+","1"
"77","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2017","MULTI","N","d.3","b.N","d.<11300","c.<40","1"
"78","CMP","HUNT VALLEY","MID-ATLANTIC","MD","CONTRACTORS","2016","2016","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"79","CMP","NAPERVILLE","CENTRAL","WI","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","e.11300+","c.<40","1"
"82","CMP","DENVER","WESTERN","AZ","STORE","2016","2016","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"83","CMP","KANSAS CITY","SOUTH CENTRAL","OK","OFFICE","2017","2018","MULTI","N","b.1","b.N","c.<4250","d.<70","1"
"85","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2017","2017","MPAC","Y","b.1","a.Y","e.11300+","e.70+","1"
"87","CMP","METRO","NORTHEAST","NY","BUILDING","2016","2018","MPAC","N","f.others","b.N","d.<11300","e.70+","1"
"88","CMP","NAPERVILLE","CENTRAL","IN","OFFICE","2016","2016","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"90","CMP","NAPERVILLE","CENTRAL","IL","STORE","2016","2016","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"91","CMP","HARTFORD","NORTHEAST","NY","BUSINESS","2016","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"92","CMP","NAPERVILLE","CENTRAL","MI","TECH OFFICE","2016","2016","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
"93","CMP","DENVER","WESTERN","NV","GARAGE","2016","2017","MULTI","N","f.others","a.Y","b.<1800","c.<40","0"
"95","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2016","2017","MPAC","N","e.4","a.Y","e.11300+","b.<15","1"
"97","CMP","NAPERVILLE","CENTRAL","IL","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","e.11300+","c.<40","1"
"98","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2016","2017","MPAC","N","f.others","b.N","e.11300+","c.<40","1"
"99","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2016","2016","MPAC","N","f.others","a.Y","e.11300+","e.70+","1"
"100","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"101","CMP","NAPERVILLE","CENTRAL","IL","APARTMENTS","2016","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"102","CMP","NAPERVILLE","CENTRAL","TX","OFFICE","2016","2016","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"103","CMP","NAPERVILLE","CENTRAL","IL","GARAGE","2016","2016","MULTI","N","b.1","b.N","c.<4250","d.<70","1"
"104","CMP","NAPERVILLE","CENTRAL","OH","OFFICE","2016","2017","MPAC","N","d.3","b.N","b.<1800","b.<25","0"
"105","CMP","NAPERVILLE","CENTRAL","MI","BUSINESS","2017","2017","MULTI","N","d.3","b.N","b.<1800","b.<25","0"
"106","CMP","DENVER","WESTERN","NV","RESTAURANTS","2017","2017","MPAC","N","d.3","b.N","b.<1800","d.<70","0"
"107","CMP","DENVER","WESTERN","NV","OFFICE","2017","2017","MULTI","N","d.3","a.Y","b.<1800","b.<25","0"
"108","CMP","DIAMOND BAR","CALIFORNIA","CA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","e.11300+","c.<40","1"
"109","CMP","DENVER","WESTERN","AZ","RESTAURANTS","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"110","CMP","DIAMOND BAR","CALIFORNIA","CA","STORE","2017","2018","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"111","CMP","HUNT VALLEY","MID-ATLANTIC","MD","BUILDING","2016","2016","MPAC","N","d.3","b.N","e.11300+","c.<40","1"
"112","CMP","HUNT VALLEY","MID-ATLANTIC","PA","STORE","2017","2017","MPAC","N","d.3","a.Y","b.<1800","d.<70","0"
"113","CMP","METRO","MID-ATLANTIC","NJ","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","d.<11300","c.<40","1"
