"","pol_entry_dt","pol_eff_dt"
"1",2017-04-04,2017-04-15
"2",2018-01-26,2018-02-01
"6",2017-10-20,2018-01-25
"7",2017-11-28,2018-01-22
"8",2017-12-11,2018-01-12
"9",2018-02-06,2018-03-01
"10",2017-10-09,2018-01-14
"11",2017-07-29,2017-08-16
"13",2017-05-03,2017-08-14
"14",2017-08-21,2017-09-01
"15",2017-05-15,2017-07-25
"17",2017-05-24,2017-07-28
"18",2017-05-22,2017-07-29
"19",2017-08-24,2017-09-06
"20",2017-08-28,2017-09-25
"21",2017-07-05,2017-09-30
"22",2017-07-05,2017-09-30
"24",2017-08-11,2017-09-05
"26",2017-07-12,2017-09-05
"27",2017-07-11,2017-09-08
"30",2017-09-12,2017-10-15
"31",2017-08-29,2017-09-24
"32",2017-09-01,2017-09-23
"33",2017-07-20,2017-10-01
"34",2017-08-10,2017-09-11
"35",2017-04-06,2017-05-29
"36",2017-05-10,2017-06-08
"37",2017-06-30,2017-07-30
"38",2017-05-18,2017-06-26
"41",2017-06-21,2017-07-01
"44",2015-06-15,2017-06-15
"45",2017-04-28,2017-04-27
"46",2017-05-22,2017-08-30
"48",2017-05-17,2017-06-01
"49",2017-04-26,2017-04-04
"50",2016-03-23,2017-04-02
"51",2016-03-23,2017-04-02
"52",2017-03-13,2017-04-01
"53",2016-12-13,2017-04-01
"54",2017-08-03,2017-10-05
"55",2017-08-16,2017-10-15
"57",2017-01-16,2017-05-22
"58",2017-04-28,2017-05-15
"59",2017-02-09,2017-07-06
"60",2016-03-29,2018-04-29
"61",2016-03-29,2017-05-01
"64",2017-03-08,2017-04-01
"65",2017-10-09,2018-01-01
"66",2017-11-28,2017-12-30
"71",2017-12-11,2018-01-31
"72",2016-11-29,2017-04-01
"74",2017-10-09,2018-01-13
"75",2017-09-19,2017-11-30
"76",2016-11-30,2017-05-05
"77",2017-10-17,2018-01-01
"78",2017-10-25,2017-12-02
"79",2017-06-28,2017-09-18
"82",2017-10-30,2017-11-28
"83",2017-12-06,2018-01-05
"85",2017-07-11,2017-08-17
"87",2016-12-07,2018-01-01
"88",2017-11-03,2017-12-17
"90",2017-11-03,2017-12-16
"91",2018-01-29,2018-02-05
"92",2017-11-03,2017-12-17
"93",2016-12-12,2017-05-05
"95",2016-12-13,2017-04-16
"97",2017-09-28,2017-12-16
"98",2016-12-13,2017-05-09
"99",2016-12-13,2017-05-01
"100",2017-11-10,2017-12-13
"101",2018-01-29,2018-02-13
"102",2017-11-03,2017-12-28
"103",2017-11-15,2017-12-31
"104",2017-10-10,2018-01-01
"105",2017-10-05,2018-01-06
"106",2017-10-04,2018-01-07
"107",2017-10-09,2018-01-20
"108",2017-08-07,2017-08-15
"109",2017-07-24,2017-08-13
"110",2017-10-12,2018-03-10
"111",2017-01-04,2017-04-02
"112",2017-10-04,2018-01-09
"113",2017-01-04,2017-04-01
"114",2017-01-05,2017-08-25
"115",2017-01-05,2018-02-05
"116",2017-11-01,2018-01-14
"117",2017-10-04,2018-01-17
"118",2017-01-06,2017-04-01
"119",2017-10-09,2018-01-31
"121",2017-11-28,2018-01-10
"122",2017-01-09,2017-06-09
"123",2017-10-04,2018-01-19
"124",2017-01-09,2017-05-04
"125",2017-01-10,2017-05-08
"126",2017-01-10,2017-04-05
"128",2017-10-09,2018-01-10
"129",2017-01-10,2017-07-01
"130",2017-11-01,2018-01-10
"131",2017-01-10,2017-05-23
"132",2017-01-10,2017-05-23
"133",2017-01-11,2017-05-03
"135",2017-01-11,2017-05-03
"136",2018-01-29,2018-03-18
"137",2017-01-11,2018-01-26
"138",2018-01-11,2018-03-07
"139",2017-01-11,2017-04-03
"140",2017-09-26,2017-11-01
"141",2017-09-26,2017-09-26
"142",2017-09-26,2018-02-01
"144",2017-09-26,2017-10-01
"146",2017-09-26,2017-10-01
"148",2017-09-26,2017-12-08
"154",2017-09-26,2017-09-26
"156",2017-09-26,2017-09-30
"157",2017-09-26,2017-10-01
"158",2017-09-26,2017-10-21
"161",2017-09-26,2017-09-26
"163",2017-09-26,2017-10-01
"164",2017-09-26,2017-12-01
"165",2017-09-26,2017-10-01
"166",2017-09-26,2017-09-25
"167",2017-09-26,2017-09-26
"170",2017-09-26,2017-11-12
"171",2017-09-26,2017-10-01
"173",2017-09-26,2017-10-01
"174",2017-09-26,2017-09-26
"175",2017-09-26,2017-10-01
"177",2017-09-26,2017-12-03
"180",2017-09-26,2017-09-28
"181",2017-09-26,2017-09-26
"182",2017-09-26,2017-10-08
"183",2017-09-26,2017-12-16
"184",2017-09-26,2017-11-01
"186",2017-09-26,2017-10-01
"187",2017-09-26,2017-10-30
"188",2017-09-26,2017-09-26
"189",2017-09-26,2017-09-26
"190",2017-09-26,2017-10-01
"191",2017-09-26,2017-12-09
"192",2017-09-26,2017-10-18
"194",2017-09-26,2017-11-08
"195",2017-09-26,2017-10-01
"196",2017-09-26,2017-10-28
"197",2017-09-26,2017-09-26
"198",2017-09-26,2017-10-20
"199",2017-09-26,2017-10-01
"200",2017-09-26,2017-10-03
"202",2017-09-26,2017-10-15
"203",2017-09-26,2017-11-01
"204",2017-09-26,2017-10-24
"206",2017-09-26,2017-10-10
"207",2017-09-26,2017-11-17
"208",2017-09-26,2017-11-17
"209",2017-09-26,2017-10-21
"210",2017-09-26,2017-10-09
"211",2017-09-26,2017-10-10
"212",2017-09-26,2017-10-17
"213",2017-09-26,2017-10-08
"214",2017-09-26,2017-09-26
"215",2017-09-26,2017-10-01
"216",2017-09-26,2017-10-06
"217",2017-09-26,2018-01-19
"218",2017-09-26,2017-09-26
"219",2017-09-26,2017-10-10
"220",2017-09-26,2017-09-26
"221",2017-09-26,2017-10-05
"223",2017-09-26,2017-10-05
"224",2017-09-26,2017-09-26
"225",2017-09-26,2017-10-21
"228",2017-09-26,2017-12-19
"229",2017-09-26,2017-09-28
"231",2017-09-26,2017-11-17
"232",2017-09-26,2017-10-01
"236",2017-09-26,2017-09-27
"237",2017-09-26,2017-11-01
"239",2017-09-26,2017-12-31
"240",2017-09-26,2017-10-27
"242",2017-09-26,2017-09-26
"243",2017-09-26,2017-10-06
"244",2017-09-26,2017-09-26
"245",2017-09-26,2017-09-27
"246",2017-09-26,2017-09-26
"247",2017-09-26,2017-10-01
"249",2017-09-26,2017-10-03
"250",2017-09-26,2017-12-01
"251",2017-09-26,2017-09-26
"253",2017-09-26,2017-12-01
"254",2017-09-26,2017-11-08
"255",2017-09-26,2017-10-17
"256",2017-09-26,2017-09-26
"258",2017-09-26,2017-10-01
"259",2017-09-26,2017-10-11
"260",2017-09-26,2017-11-25
"262",2017-09-26,2017-09-27
"264",2017-09-26,2017-09-28
"266",2017-09-26,2017-10-01
"269",2017-09-26,2017-11-03
"270",2017-09-26,2017-10-01
"271",2017-09-26,2017-10-20
"272",2017-09-26,2017-10-01
