"","X","TRV.Price","nbr_comp","count","rrv_rt_fct","tot_bld_annl_rev_amt","fnl_prc_pt_fct","tot_ref_rule_cnt","agt_subm_pol_cnt","terr_pctl_bldgcrime","terr_pctl_bldgfire","terr_pctl_weather","terr_pctl_water","terr_pctl_cntscrime","terr_pctl_cntsfire","terr_pctl_liab","afi_pol_cnt","pri_clm_cnt","prcnt_blg_tiv","prcnt_pol_cmp"
"1",0,3985,1,1,0.72,450000,1,0,1,77,16,98,48,30,46,96,1,0,0,1
"2",1,6813,4,1,1,1e+05,0.7286,1,1,94,96,2,88,91,73,78,0,0,1,1
"6",5,2034,1,1,1,1e+05,0.6727,0,1,3,3,2,87,2,46,19,1,0,0.534257120862202,1
"7",6,650,1,1,1,50000,0.949,0,1,64,52,16,100,80,72,56,1,0,0,1
"8",7,6918,1,1,1,128000,0.809,2,1,90,92,23,86,82,51,70,0,0,1,1
"9",8,2549,1,2,1,150000,0.7735,0,1,89,43,53,35,97,22,16,1,0,0.911698592744312,1
"10",9,1181,1,2,1.11,25000,1,0,1,46,3,81,4,45,1,16,1,0,0,1
"11",10,3197,1,1,0.85,25000,1,1,1,34,79,10,15,67,26,52,0,1,0.994006674385344,1
"13",12,3682,1,1,1,3e+05,0.8253,1,1,97,14,45,42,70,11,14,0,1,0,1
"14",13,3906,1,2,1,2e+05,0.762,0,1,95,20,54,17,86,9,7,1,0,0.382385378919174,1
"15",14,4198,1,1,1,6e+05,0.6727,0,1,71,96,10,98,64,83,92,1,0,0.694128199820603,1
"17",16,2484,2,1,0.94,5e+05,1,1,1,97,27,85,21,90,51,34,0,0,0,1
"18",17,27703,1,1,1,20000,0.7545,0,1,100,6,47,1,98,39,24,1,0,1,1
"19",18,2369,1,2,1,15001,1.0858,0,1,100,77,72,14,90,76,39,1,0,1,1
"20",19,4119,1,1,1,125000,0.7036,0,1,25,65,54,42,51,91,31,1,0,0.968351075193098,1
"21",20,500,1,1,1,120000,1.3256,0,1,56,25,36,55,61,67,52,1,0,0,1
"22",21,500,1,1,1,160000,0.9396,0,1,84,50,25,57,84,54,60,1,0,0,1
"24",23,650,3,2,1.33,50000,1,1,1,83,14,84,2,36,32,10,0,0,0,1
"26",25,877,1,2,1.16,150000,1,0,1,25,43,96,93,76,50,91,1,0,0,1
"27",26,650,3,2,1.11,1e+05,1,0,1,83,14,84,2,36,32,10,1,0,0,1
