"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"1","3017F3156","0D826916","KLINGER INS GROUP","Harleysville","RESTAURANT ORIENTAL-FAMILY STY","XG934","XG934","XG934","22304"
"2","5788G8182","0E561585","CORNERSTONE INS GRP LLC","Other","BLDG PAC MERCANTILE OTHER","FU226","FU226","FU226","63376"
"6","2165H0182","0E640970","PEARL INS GROUP LLC","Hartford","OFC PAC DENTISTS","CWN97","X3590","X3590","38115"
"7","4058R3164","0E701629","MIDDLE TENNESSEE INS SVC","Liberty Mutual","OFC PAC CHIROPRACTORS","CSF13","CSF13","CSF13","35619"
"8","2374J4182","0E766892","LANDER VAN GUNDY AGENCY","Cincinnati","APART PAC BLDG 1-4 UNITS","DDY40","XL473","XL473","61704"
"9","9790J1182","0E865581","ONEGROUP NY INC","Main Street America","BUS PAC BEAUTY SHOPS","FA732","DBT99","DBT99","13790"
"10","6156K5182","0E939654","RUA-DUMONT-AUDET INS","Liberty Mutual","CON PAC HEATING-COMBINE HVAC","CKR23","CKR23","CKR23","2724"
"11","9239FA188","0F009169","NORTH CENTRAL INS CENTER","Other","COMMERCIAL CONDOMINIUM - OFFIC","CQY44","CQY44","CQY44","57101"
"13","1570G1188","0F02693A","TANNER INSURANCE AGENCY","Other","GARAGE PAC GENERAL REPAIRS WIT","CMB11","CVC76","CVC76","13461"
"14","4273GA188","0F063832","NBT INSURANCE AGENCY LLC","Hartford","OFC PAC DENTISTS","G6485","G6485","G6485","13838"
"15","5582G5188","0F084378","SPANN INSURANCE","Zurich","OFC PAC VETERINARIANS","G4622","X0614","X0614","37069"
"17","2876H2188","0F165025","MTM INS ASSOC LLC","Other","STORE PAC CLOTHING WOMEN'S","PP980","CHR54","CHR54","1810"
"18","5040h1188","0F196616","M & M ASSURANCE GROUP INC","Hanover","BLDG PAC APART INCIDENTAL MERC","HF505","KG593","KG593","3838"
